GEOCOD;MUN;Casos;Obitos
4;Cruzeiro do Sul;0;0
64;Gebara;0;0
72;Recanto das Acácias;0;0
90;Tiradentes;0;0
59;Vila Candosa;0;0
74;Arrastão;1;1
56;Almerinda;121;5
23;Rosane;3;0
76;Ieda;5;1
62;Guarani;9;0
58;Palmeiras;16;0
14;Engenho do Roçado;21;1
17;Largo da Ideia;24;1
86;Novo México;27;2
84;Vila Yara;28;0
38;Barracão;32;3
21;Eliane;32;0
13;Várzea das Moças;32;0
3;Luiz Caçador;36;4
80;Fazenda dos Mineiros;39;0
31;Vila Três;39;0
42;Tenente Jardim;41;5
46;Ipiíba;47;1
33;Anaia;48;0
9;Morro do Castro;57;6
77;Zumbi;60;2
10;Parada Quarenta;74;5
30;Itaoca;82;4
15;Jardim Nova República;82;0
79;Salgueiro;83;3
73;Mangueira;87;4
47;Bom Retiro;114;11
78;Mutuaguaçu;118;4
41;Porto da Madama;119;4
87;Miriambi;120;3
85;Patronato;123;5
45;Lagoinha;126;10
18;Covanca;133;7
35;Lindo Parque;135;6
7;Camarão;147;7
55;Raul Veiga;175;6
26;Estrela do Norte;181;8
24;São Miguel;183;10
57;Guaxindiba;194;8
70;Monjolos;197;18
11;Maria Paula;200;10
52;Mutuapira;200;5
81;Paraiso;228;12
43;Sacramento;233;8
6;Antonina;234;13
66;Zé Garoto;244;12
48;Vila Lage;255;6
65;Vista Alegre;258;18
34;Arsenal;278;9
75;Tribobó;279;19
44;Santa Luzia;288;10
63;Marambaia;298;20
60;Pacheco;298;16
49;Santa Catarina;304;8
89;Santa Isabel;305;18
69;Laranjal;308;3
88;Amendoeira;309;18
37;Neves;325;12
8;Venda da Cruz;329;3
20;Pita;334;14
16;Jockey;341;9
91;Porto Velho;356;19
50;Engenho Pequeno;366;14
39;Rio do Ouro;369;8
22;Brasilândia;400;12
1;Porto da Pedra;420;20
82;Centro;427;20
5;Boa Vista;464;13
28;Nova Cidade;484;13
92;Gradim;488;17
19;Galo Branco;489;24
12;Alcântra;491;27
67;Coelho;495;22
29;Porto da Rosa;520;17
2;Porto Novo;532;28
36;Barro Vermelho;554;21
54;Mutondo;558;23
25;Mutuá;583;21
51;Rocha;648;19
83;Boaçu;700;16
71;Itaúna;730;31
40;Colubandê;977;36
53;Trindade;1043;30
27;Jardim Catarina;2510;71
